"miRNA","sEV Cox effect","Scaled sEV effect","Total-plasma Cox effect","Scaled plasma effect","Cross-compartment direction concordance (%)","Composite selection score","Plasma Cox P value","Composite rank","Final five-miRNA panel"
"hsa-miR-31-5p",0.339,0.931,0.292,1,97,0.936,0.00117,1,"Yes"
"hsa-miR-4492",0.364,1,0.255,0.875,99.5,0.933,0.00345,2,"Yes"
"hsa-miR-93-3p",0.251,0.69,0.189,0.647,99.5,0.665,0.0205,3,"Yes"
"hsa-miR-421",0.146,0.4,0.241,0.827,100,0.613,0.0121,4,"Yes"
"hsa-miR-324-5p",0.182,0.501,0.189,0.647,99,0.568,0.0221,5,"Yes"
"hsa-miR-106b-5p",0.188,0.517,0.161,0.552,90,0.481,0.118,6,"No"
"hsa-miR-183-5p",0.317,0.871,0.045,0.154,83,0.426,0.74,7,"No"
"hsa-miR-328-3p",0.189,0.52,0.064,0.218,69,0.254,0.584,8,"No"
"hsa-miR-342-3p",0.168,0.462,0.086,0.296,61,0.231,0.291,9,"No"
"hsa-miR-628-3p",0.259,0.71,0.117,0.4,41,0.228,0.715,10,"No"
"hsa-miR-122-5p",0.107,0.294,0.052,0.177,85,0.2,0.952,11,"No"
"hsa-miR-1307-3p",0.129,0.354,0.11,0.376,42.5,0.155,0.384,12,"No"
"hsa-miR-142-5p",0.084,0.232,0.168,0.577,37.5,0.152,0.132,13,"No"
"hsa-miR-99a-5p",0.305,0.837,0.043,0.147,23.5,0.116,0.727,14,"No"
"hsa-miR-30e-3p",0.139,0.383,0.059,0.202,30,0.088,0.995,15,"No"
"hsa-miR-326",0.13,0.358,0.092,0.314,19.5,0.065,0.296,16,"No"
"hsa-miR-199a-3p",0.115,0.316,0.071,0.242,13.5,0.038,0.808,17,"No"
"hsa-miR-28-3p",0.111,0.305,0.053,0.181,6,0.015,0.843,18,"No"
"hsa-miR-1-3p",0.177,0.485,0.212,0.727,0,0,0.00199,19,"No"
