Program code,Parent lineage,Display lineage,State program,Disease group,Spearman rho,P value,No. donors,FDR,Sig lbl
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,SALS,-0.098,0.708,17,0.885,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,C9-ALS,0.225,0.420,15,0.740,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,ALS,0.077,0.674,32,0.867,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,SFTLD,0.448,0.145,12,0.500,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,C9-FTLD,0.091,0.803,10,0.917,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,FTLD,0.281,0.206,22,0.575,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,Control,0.429,0.111,15,0.453,
Astro_Homeostatic,Astrocyte,Astrocyte,Homeostatic,All donors,0.098,0.422,69,0.740,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,SALS,0.725,9.8 × 10⁻⁴,17,0.0254,*
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,C9-ALS,0.518,0.0480,15,0.328,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,ALS,0.672,2.5 × 10⁻⁵,32,0.00254,**
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,SFTLD,0.427,0.167,12,0.533,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,C9-FTLD,0.079,0.829,10,0.930,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,FTLD,0.136,0.546,22,0.799,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,Control,0.504,0.0557,15,0.343,
Astro_PanReactive,Astrocyte,Astrocyte,Reactive,All donors,0.5,1.2 × 10⁻⁵,69,0.00240,**
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,SALS,0.591,0.0125,17,0.134,
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,C9-ALS,0.743,0.00151,15,0.0320,*
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,ALS,0.678,2.0 × 10⁻⁵,32,0.00254,**
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,SFTLD,0.28,0.379,12,0.736,
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,C9-FTLD,0.382,0.276,10,0.670,
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,FTLD,0.235,0.291,22,0.680,
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,Control,0.321,0.243,15,0.639,
Astro_InflammComp,Astrocyte,Astrocyte,Complement / inflammatory,All donors,0.433,2.0 × 10⁻⁴,69,0.00746,**
Astro_Interferon,Astrocyte,Astrocyte,Interferon,SALS,0.532,0.0280,17,0.242,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,C9-ALS,0.679,0.00542,15,0.0771,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,ALS,0.628,1.2 × 10⁻⁴,32,0.00564,**
Astro_Interferon,Astrocyte,Astrocyte,Interferon,SFTLD,0.497,0.101,12,0.438,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,C9-FTLD,-0.042,0.907,10,0.964,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,FTLD,0.146,0.516,22,0.780,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,Control,0.55,0.0337,15,0.268,
Astro_Interferon,Astrocyte,Astrocyte,Interferon,All donors,0.459,7.4 × 10⁻⁵,69,0.00442,**
Astro_StressMT,Astrocyte,Astrocyte,Stress,SALS,0.262,0.309,17,0.700,
Astro_StressMT,Astrocyte,Astrocyte,Stress,C9-ALS,0.368,0.177,15,0.541,
Astro_StressMT,Astrocyte,Astrocyte,Stress,ALS,0.287,0.112,32,0.453,
Astro_StressMT,Astrocyte,Astrocyte,Stress,SFTLD,0.28,0.379,12,0.736,
Astro_StressMT,Astrocyte,Astrocyte,Stress,C9-FTLD,-0.406,0.244,10,0.639,
Astro_StressMT,Astrocyte,Astrocyte,Stress,FTLD,-0.071,0.755,22,0.905,
Astro_StressMT,Astrocyte,Astrocyte,Stress,Control,0.396,0.143,15,0.500,
Astro_StressMT,Astrocyte,Astrocyte,Stress,All donors,0.351,0.00308,69,0.0553,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,SALS,-0.213,0.411,17,0.740,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,C9-ALS,0.075,0.791,15,0.912,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,ALS,-0.075,0.683,32,0.870,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,SFTLD,-0.14,0.665,12,0.862,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,C9-FTLD,0.188,0.603,10,0.830,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,FTLD,-0.004,0.986,22,0.994,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,Control,-0.518,0.0480,15,0.328,
Micro_Homeostatic,Microglia,Microglia,Homeostatic,All donors,-0.096,0.433,69,0.745,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,SALS,-0.061,0.815,17,0.920,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,C9-ALS,0.021,0.940,15,0.975,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,ALS,-0.016,0.930,32,0.973,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,SFTLD,0.119,0.713,12,0.887,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,C9-FTLD,0.539,0.108,10,0.451,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,FTLD,0.389,0.0735,22,0.384,
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,Control,0.743,0.00151,15,0.0320,*
Micro_DAM,Microglia,Microglia,DAM / endolysosomal,All donors,0.38,0.00126,69,0.0300,*
Micro_Interferon,Microglia,Microglia,Interferon,SALS,0.064,0.808,17,0.920,
Micro_Interferon,Microglia,Microglia,Interferon,C9-ALS,0.011,0.970,15,0.983,
Micro_Interferon,Microglia,Microglia,Interferon,ALS,0.096,0.600,32,0.830,
Micro_Interferon,Microglia,Microglia,Interferon,SFTLD,-0.266,0.404,12,0.736,
Micro_Interferon,Microglia,Microglia,Interferon,C9-FTLD,0.188,0.603,10,0.830,
Micro_Interferon,Microglia,Microglia,Interferon,FTLD,-0.103,0.647,22,0.855,
Micro_Interferon,Microglia,Microglia,Interferon,Control,-0.532,0.0412,15,0.302,
Micro_Interferon,Microglia,Microglia,Interferon,All donors,-0.175,0.150,69,0.511,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,SALS,-0.235,0.363,17,0.736,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,C9-ALS,0.021,0.940,15,0.975,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,ALS,-0.178,0.330,32,0.715,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,SFTLD,0.217,0.499,12,0.772,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,C9-FTLD,0.697,0.0251,10,0.224,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,FTLD,0.392,0.0708,22,0.382,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,Control,0.229,0.413,15,0.740,
Micro_InflammAPC,Microglia,Microglia,Antigen-presenting,All donors,0.102,0.404,69,0.736,
Micro_Cycling,Microglia,Microglia,Cycling,SALS,0.197,0.448,17,0.746,
Micro_Cycling,Microglia,Microglia,Cycling,C9-ALS,-0.193,0.491,15,0.772,
Micro_Cycling,Microglia,Microglia,Cycling,ALS,0.047,0.800,32,0.917,
Micro_Cycling,Microglia,Microglia,Cycling,SFTLD,-0.699,0.0114,12,0.127,
Micro_Cycling,Microglia,Microglia,Cycling,C9-FTLD,-0.176,0.627,10,0.848,
Micro_Cycling,Microglia,Microglia,Cycling,FTLD,-0.452,0.0346,22,0.270,
Micro_Cycling,Microglia,Microglia,Cycling,Control,0.011,0.970,15,0.983,
Micro_Cycling,Microglia,Microglia,Cycling,All donors,-0.146,0.230,69,0.618,
OPC_Canonical,OPC,OPC,Canonical,SALS,-0.216,0.406,17,0.736,
OPC_Canonical,OPC,OPC,Canonical,C9-ALS,-0.457,0.0867,15,0.413,
OPC_Canonical,OPC,OPC,Canonical,ALS,-0.151,0.409,32,0.739,
OPC_Canonical,OPC,OPC,Canonical,SFTLD,0.336,0.286,12,0.677,
OPC_Canonical,OPC,OPC,Canonical,C9-FTLD,-0.091,0.803,10,0.917,
OPC_Canonical,OPC,OPC,Canonical,FTLD,0.073,0.747,22,0.905,
OPC_Canonical,OPC,OPC,Canonical,Control,0.175,0.533,15,0.791,
OPC_Canonical,OPC,OPC,Canonical,All donors,0.094,0.442,69,0.745,
OPC_Cycling,OPC,OPC,Cycling,SALS,-0.424,0.0898,17,0.417,
OPC_Cycling,OPC,OPC,Cycling,C9-ALS,-0.457,0.0867,15,0.413,
OPC_Cycling,OPC,OPC,Cycling,ALS,-0.451,0.00967,32,0.113,
OPC_Cycling,OPC,OPC,Cycling,SFTLD,-0.357,0.255,12,0.652,
OPC_Cycling,OPC,OPC,Cycling,C9-FTLD,0.6,0.0667,10,0.363,
OPC_Cycling,OPC,OPC,Cycling,FTLD,0.099,0.662,22,0.862,
OPC_Cycling,OPC,OPC,Cycling,Control,-0.243,0.383,15,0.736,
OPC_Cycling,OPC,OPC,Cycling,All donors,-0.315,0.00837,69,0.105,
OPC_Differentiating,OPC,OPC,Differentiating,SALS,-0.502,0.0398,17,0.297,
OPC_Differentiating,OPC,OPC,Differentiating,C9-ALS,-0.486,0.0664,15,0.363,
OPC_Differentiating,OPC,OPC,Differentiating,ALS,-0.359,0.0435,32,0.314,
