"Feature","EV survival-time rho","Plasma survival-time rho","EV bootstrap |beta|","Plasma bootstrap |beta|","EV |beta| scaled","Plasma |beta| scaled","Sign orientation","Bootstrap direction concordance","Plasma Cox P","Composite rank score","In locked five"
"hsa-miR-31-5p",-0.238,0.017,0.339,0.292,0.931,1,"concordant",0.97,0.001,0.936,"yes"
"hsa-miR-4492",-0.318,-0.067,0.364,0.255,1,0.875,"concordant",0.995,0.003,0.933,"yes"
"hsa-miR-93-3p",-0.2,-0.022,0.251,0.189,0.69,0.647,"concordant",0.995,0.021,0.665,"yes"
"hsa-miR-421",0.086,-0.013,0.146,0.241,0.4,0.827,"concordant",1,0.012,0.613,"yes"
"hsa-miR-324-5p",-0.26,-0.038,0.182,0.189,0.501,0.647,"concordant",0.99,0.022,0.568,"yes"
"hsa-miR-106b-5p",0.163,0.079,0.188,0.161,0.517,0.552,"concordant",0.9,0.118,0.481,"no"
"hsa-miR-183-5p",0.226,0.094,0.317,0.045,0.871,0.154,"concordant",0.83,0.74,0.426,"no"
"hsa-miR-328-3p",-0.242,-0.01,0.189,0.064,0.52,0.218,"concordant",0.69,0.584,0.254,"no"
"hsa-miR-342-3p",0.18,-0.011,0.168,0.086,0.462,0.296,"concordant",0.61,0.291,0.231,"no"
"hsa-miR-628-3p",-0.059,0.028,0.259,0.117,0.71,0.4,"discordant",0.41,0.715,0.228,"no"
"hsa-miR-122-5p",-0.13,-0.084,0.107,0.052,0.294,0.177,"concordant",0.85,0.952,0.2,"no"
"hsa-miR-1307-3p",-0.131,0.003,0.129,0.11,0.354,0.376,"discordant",0.425,0.384,0.155,"no"
"hsa-miR-142-5p",0.01,-0.028,0.084,0.168,0.232,0.577,"discordant",0.375,0.132,0.152,"no"
"hsa-miR-99a-5p",-0.304,0.019,0.305,0.043,0.837,0.147,"discordant",0.235,0.727,0.116,"no"
"hsa-miR-30e-3p",-0.032,0.03,0.139,0.059,0.383,0.202,"discordant",0.3,0.995,0.088,"no"
"hsa-miR-326",-0.18,-0.051,0.13,0.092,0.358,0.314,"discordant",0.195,0.296,0.066,"no"
"hsa-miR-199a-3p",-0.188,-0.013,0.115,0.071,0.316,0.242,"discordant",0.135,0.808,0.038,"no"
"hsa-miR-28-3p",-0.096,0.025,0.111,0.053,0.305,0.181,"discordant",0.06,0.843,0.015,"no"
"hsa-miR-1-3p",-0.156,0.052,0.177,0.212,0.485,0.727,"discordant",0,0.002,0,"no"
