"Factor","Feature-weighted variance (%, omic views only)","Spearman rho vs survival","P value","Interpretation"
"Factor1",0.18,0.999,"2.4 × 10⁻⁵⁸","Outcome-guided prioritisation factor"
"Factor2",8.183,0.211,"0.163","—"
"Factor3",13.084,-0.112,"0.462","—"
"Factor4",3.636,-0.125,"0.413","—"
"Factor5",2.285,-0.216,"0.154","—"
"Factor6",1.815,0.193,"0.204","—"
"Factor7",1.797,-0.123,"0.421","—"
"Factor8",1.25,0.082,"0.590","—"
"Factor9",1.549,0.285,"0.0575","—"
"Factor10",1.939,-0.079,"0.607","—"
"Factor11",1.308,0.315,"0.0354","—"
"Factor12",0.833,0.047,"0.759","—"
