"group","time","surv","n_risk","strata","repeat_id","signature"
"High",0,1,127,"group=High",1,"Plasma-5"
"Low",0,1,121,"group=Low",1,"Plasma-5"
"High",1,0.992125984251968,126,"group=High",1,"Plasma-5"
"Low",1,0.991735537190083,120,"group=Low",1,"Plasma-5"
"High",2,0.937007874015748,120,"group=High",1,"Plasma-5"
"Low",2,0.958677685950413,116,"group=Low",1,"Plasma-5"
"High",3,0.881889763779528,114,"group=High",1,"Plasma-5"
"Low",3,0.884297520661157,109,"group=Low",1,"Plasma-5"
"High",4,0.84251968503937,107,"group=High",1,"Plasma-5"
"Low",4,0.867768595041322,107,"group=Low",1,"Plasma-5"
"High",5,0.811023622047244,103,"group=High",1,"Plasma-5"
"Low",5,0.834710743801653,101,"group=Low",1,"Plasma-5"
"High",6,0.779527559055118,99,"group=High",1,"Plasma-5"
"Low",6,0.785123966942149,95,"group=Low",1,"Plasma-5"
"High",7,0.732283464566929,93,"group=High",1,"Plasma-5"
"Low",7,0.760330578512397,93,"group=Low",1,"Plasma-5"
"High",8,0.677165354330709,88,"group=High",1,"Plasma-5"
"Low",8,0.75206611570248,91,"group=Low",1,"Plasma-5"
"High",9,0.653543307086615,85,"group=High",1,"Plasma-5"
"Low",9,0.694214876033058,84,"group=Low",1,"Plasma-5"
"High",10,0.590551181102363,75,"group=High",1,"Plasma-5"
"Low",10,0.661157024793389,80,"group=Low",1,"Plasma-5"
"High",11,0.543307086614174,70,"group=High",1,"Plasma-5"
"Low",11,0.636363636363637,77,"group=Low",1,"Plasma-5"
"High",12,0.496062992125985,64,"group=High",1,"Plasma-5"
"Low",12,0.611570247933885,74,"group=Low",1,"Plasma-5"
"High",13,0.433070866141733,55,"group=High",1,"Plasma-5"
"Low",13,0.603305785123967,73,"group=Low",1,"Plasma-5"
"High",14,0.409448818897638,53,"group=High",1,"Plasma-5"
"Low",14,0.578512396694215,70,"group=Low",1,"Plasma-5"
"High",15,0.362204724409449,46,"group=High",1,"Plasma-5"
"Low",15,0.570247933884298,69,"group=Low",1,"Plasma-5"
"High",16,0.330708661417323,42,"group=High",1,"Plasma-5"
"Low",16,0.570247933884298,69,"group=Low",1,"Plasma-5"
"High",17,0.31496062992126,40,"group=High",1,"Plasma-5"
"Low",17,0.561983471074381,68,"group=Low",1,"Plasma-5"
"High",18,0.275590551181103,35,"group=High",1,"Plasma-5"
"Low",18,0.553719008264463,67,"group=Low",1,"Plasma-5"
"High",19,0.251968503937008,32,"group=High",1,"Plasma-5"
"Low",19,0.528925619834711,65,"group=Low",1,"Plasma-5"
"High",20,0.244094488188977,31,"group=High",1,"Plasma-5"
"Low",20,0.504132231404959,61,"group=Low",1,"Plasma-5"
"High",21,0.220472440944882,28,"group=High",1,"Plasma-5"
"Low",21,0.479338842975207,58,"group=Low",1,"Plasma-5"
"High",22,0.212598425196851,27,"group=High",1,"Plasma-5"
"Low",22,0.462809917355372,56,"group=Low",1,"Plasma-5"
"High",23,0.212598425196851,27,"group=High",1,"Plasma-5"
"Low",23,0.429752066115703,52,"group=Low",1,"Plasma-5"
"High",24,0.165354330708662,22,"group=High",1,"Plasma-5"
"Low",24,0.41305785123967,50,"group=Low",1,"Plasma-5"
"High",25,0.149606299212599,20,"group=High",1,"Plasma-5"
"Low",25,0.396198347107438,47,"group=Low",1,"Plasma-5"
"High",26,0.141732283464567,18,"group=High",1,"Plasma-5"
"Low",26,0.379338842975207,45,"group=Low",1,"Plasma-5"
"High",27,0.133858267716536,17,"group=High",1,"Plasma-5"
"Low",27,0.362479338842975,43,"group=Low",1,"Plasma-5"
"High",28,0.133858267716536,17,"group=High",1,"Plasma-5"
"Low",28,0.362479338842975,43,"group=Low",1,"Plasma-5"
"High",29,0.110236220472441,14,"group=High",1,"Plasma-5"
"Low",29,0.362479338842975,43,"group=Low",1,"Plasma-5"
"High",30,0.10236220472441,13,"group=High",1,"Plasma-5"
"Low",30,0.353848878394333,42,"group=Low",1,"Plasma-5"
"High",31,0.094488188976378,12,"group=High",1,"Plasma-5"
"Low",31,0.345218417945691,40,"group=Low",1,"Plasma-5"
"High",32,0.094488188976378,12,"group=High",1,"Plasma-5"
