"RNA class","Rank by |loading|","Feature","Factor 1 loading","Absolute loading"
"miRNA",1,"hsa-miR-98-5p",-0.008,0.008
"miRNA",2,"hsa-miR-27a-3p",-0.008,0.008
"miRNA",3,"hsa-miR-4492",-0.007,0.007
"miRNA",4,"hsa-miR-24-3p",-0.007,0.007
"miRNA",5,"hsa-miR-130b-3p",0.006,0.006
"miRNA",6,"hsa-miR-193a-5p",0.006,0.006
"miRNA",7,"hsa-miR-15a-5p",-0.005,0.005
"miRNA",8,"hsa-miR-29c-3p",-0.005,0.005
"miRNA",9,"hsa-miR-126-5p",0.005,0.005
"miRNA",10,"hsa-miR-328-3p",-0.005,0.005
"miRNA",11,"hsa-let-7b-5p",0.004,0.004
"miRNA",12,"hsa-miR-15b-5p",-0.004,0.004
"miRNA",13,"hsa-miR-30d-5p",0.004,0.004
"miRNA",14,"hsa-miR-31-5p",-0.004,0.004
"miRNA",15,"hsa-miR-589-5p",-0.004,0.004
"miRNA",16,"hsa-miR-342-3p",-0.004,0.004
"miRNA",17,"hsa-miR-92a-3p",0.004,0.004
"miRNA",18,"hsa-miR-148b-3p",-0.004,0.004
"miRNA",19,"hsa-miR-7-5p",-0.003,0.003
"miRNA",20,"hsa-miR-107",0.003,0.003
"miRNA",21,"hsa-miR-122-5p",-0.003,0.003
"miRNA",22,"hsa-miR-151a-5p",-0.003,0.003
"miRNA",23,"hsa-miR-145-5p",0.003,0.003
"miRNA",24,"hsa-let-7d-3p",-0.003,0.003
"miRNA",25,"hsa-miR-197-3p",-0.003,0.003
"miRNA",26,"hsa-miR-30a-5p",-0.003,0.003
"miRNA",27,"hsa-miR-142-5p",0.003,0.003
"miRNA",28,"hsa-miR-30e-5p",0.003,0.003
"miRNA",29,"hsa-miR-93-3p",-0.003,0.003
"miRNA",30,"hsa-let-7c-5p",-0.003,0.003
"miRNA",31,"hsa-miR-199a-3p",0.003,0.003
"miRNA",32,"hsa-miR-144-3p",-0.003,0.003
"miRNA",33,"hsa-miR-1-3p",-0.003,0.003
"miRNA",34,"hsa-miR-222-3p",0.003,0.003
"miRNA",35,"hsa-miR-185-5p",-0.003,0.003
"miRNA",36,"hsa-miR-324-5p",-0.003,0.003
"miRNA",37,"hsa-miR-28-3p",0.003,0.003
"miRNA",38,"hsa-miR-451a",-0.003,0.003
"miRNA",39,"hsa-miR-376c-3p",0.003,0.003
"miRNA",40,"hsa-miR-30e-3p",-0.003,0.003
"miRNA",41,"hsa-miR-99a-5p",-0.003,0.003
"miRNA",42,"hsa-miR-106b-5p",0.002,0.002
"miRNA",43,"hsa-miR-203a-3p",0.002,0.002
"miRNA",44,"hsa-miR-183-5p",0.002,0.002
"miRNA",45,"hsa-miR-628-3p",0.002,0.002
"miRNA",46,"hsa-miR-326",-0.002,0.002
"miRNA",47,"hsa-miR-1307-3p",-0.002,0.002
"miRNA",48,"hsa-miR-335-5p",0.002,0.002
"miRNA",49,"hsa-miR-421",0.002,0.002
"miRNA",50,"hsa-miR-20a-5p",-0.002,0.002
"mRNA",1,"LCOR",0.031,0.031
"mRNA",2,"EIF3F",-0.031,0.031
"mRNA",3,"NPM1",0.026,0.026
"mRNA",4,"ALG5",-0.025,0.025
"mRNA",5,"PKHD1L1",0.024,0.024
"mRNA",6,"NAGK",0.024,0.024
"mRNA",7,"ZNF717",-0.024,0.024
"mRNA",8,"TNS1",-0.023,0.023
"mRNA",9,"ATP11A",-0.023,0.023
"mRNA",10,"LAMP1",-0.022,0.022
"mRNA",11,"ZBTB16",0.022,0.022
"mRNA",12,"PDS5A",-0.022,0.022
"mRNA",13,"ZNF655",-0.021,0.021
"mRNA",14,"TRIM2",0.021,0.021
"mRNA",15,"ANKS6",-0.021,0.021
"mRNA",16,"AHNAK2",0.021,0.021
"mRNA",17,"NHEJ1",0.021,0.021
"mRNA",18,"TINCR",-0.021,0.021
"mRNA",19,"OR5A2",0.021,0.021
"mRNA",20,"AKAP9",0.02,0.02
"mRNA",21,"PRR14",-0.02,0.02
"mRNA",22,"LRRC7",0.019,0.019
"mRNA",23,"KPNA4",-0.019,0.019
"mRNA",24,"KIAA0825",0.019,0.019
"mRNA",25,"MT-CYB",0.019,0.019
"mRNA",26,"SLC22A8",0.018,0.018
"mRNA",27,"RAB6B",0.018,0.018
"mRNA",28,"RALGAPA1",0.018,0.018
"mRNA",29,"MTMR3",0.018,0.018
"mRNA",30,"CCDC14",0.018,0.018
"mRNA",31,"CBL",0.018,0.018
"mRNA",32,"MLXIP",0.018,0.018
"mRNA",33,"SP3",-0.018,0.018
"mRNA",34,"ALDH7A1",0.018,0.018
"mRNA",35,"STK4",0.018,0.018
"mRNA",36,"NBPF1",0.017,0.017
"mRNA",37,"MCTP2",-0.017,0.017
"mRNA",38,"UTP25",-0.017,0.017
"mRNA",39,"MT-ND2",0.017,0.017
"mRNA",40,"SNX27",0.017,0.017
"mRNA",41,"TRIM11",-0.017,0.017
"mRNA",42,"OCLN",0.017,0.017
"mRNA",43,"CYP20A1",0.017,0.017
"mRNA",44,"NRXN3",-0.017,0.017
"mRNA",45,"SYNPO2",0.017,0.017
"mRNA",46,"DDX60",0.016,0.016
"mRNA",47,"CDC42BPA",-0.016,0.016
"mRNA",48,"IRF1",0.016,0.016
"mRNA",49,"MAP2",-0.015,0.015
"mRNA",50,"MAST2",-0.015,0.015
