size_nm,sample_id,trace,concentration_particles_ml
2.5,NTA-01,GLAST+ individual,5550926.487114183
7.5,NTA-01,GLAST+ individual,5659325.033157883
12.5,NTA-01,GLAST+ individual,5901812.536103401
17.5,NTA-01,GLAST+ individual,6314537.672135043
22.5,NTA-01,GLAST+ individual,6920935.695074437
27.5,NTA-01,GLAST+ individual,7713049.261634405
32.5,NTA-01,GLAST+ individual,8645674.449812362
37.5,NTA-01,GLAST+ individual,9646753.453178944
42.5,NTA-01,GLAST+ individual,10644528.799343377
47.5,NTA-01,GLAST+ individual,11597344.799704975
52.5,NTA-01,GLAST+ individual,12511272.371369716
57.5,NTA-01,GLAST+ individual,13445180.68175159
62.5,NTA-01,GLAST+ individual,14490312.803310197
67.5,NTA-01,GLAST+ individual,15738538.51036353
72.5,NTA-01,GLAST+ individual,17243448.432424314
77.5,NTA-01,GLAST+ individual,18998081.788721267
82.5,NTA-01,GLAST+ individual,20924122.231696457
87.5,NTA-01,GLAST+ individual,22890749.574562263
92.5,NTA-01,GLAST+ individual,24742841.338588532
97.5,NTA-01,GLAST+ individual,26337690.314826168
102.5,NTA-01,GLAST+ individual,27575826.617061913
107.5,NTA-01,GLAST+ individual,28421686.92902536
112.5,NTA-01,GLAST+ individual,28904370.465781804
117.5,NTA-01,GLAST+ individual,29109041.28556379
122.5,NTA-01,GLAST+ individual,29158362.903431326
127.5,NTA-01,GLAST+ individual,29190132.548820235
132.5,NTA-01,GLAST+ individual,29333803.695127428
137.5,NTA-01,GLAST+ individual,29686260.63732923
142.5,NTA-01,GLAST+ individual,30294059.79858552
147.5,NTA-01,GLAST+ individual,31141499.643620957
152.5,NTA-01,GLAST+ individual,32148481.03586477
157.5,NTA-01,GLAST+ individual,33178688.27211755
162.5,NTA-01,GLAST+ individual,34064594.73005004
167.5,NTA-01,GLAST+ individual,34636941.86547892
172.5,NTA-01,GLAST+ individual,34760579.491437696
177.5,NTA-01,GLAST+ individual,34359459.46380882
182.5,NTA-01,GLAST+ individual,33434317.794200003
187.5,NTA-01,GLAST+ individual,32055779.350921858
192.5,NTA-01,GLAST+ individual,30346881.18798281
197.5,NTA-01,GLAST+ individual,28453582.31772813
202.5,NTA-01,GLAST+ individual,26516374.920090403
207.5,NTA-01,GLAST+ individual,24648469.553381667
212.5,NTA-01,GLAST+ individual,22927952.63478997
217.5,NTA-01,GLAST+ individual,21399622.566208463
222.5,NTA-01,GLAST+ individual,20080187.373857744
227.5,NTA-01,GLAST+ individual,18966763.73873918
232.5,NTA-01,GLAST+ individual,18041681.306623947
237.5,NTA-01,GLAST+ individual,17276723.394328915
242.5,NTA-01,GLAST+ individual,16630189.502361242
247.5,NTA-01,GLAST+ individual,16053721.144569421
252.5,NTA-01,GLAST+ individual,15491841.628638502
257.5,NTA-01,GLAST+ individual,14894933.499645045
262.5,NTA-01,GLAST+ individual,14226186.517476529
267.5,NTA-01,GLAST+ individual,13470784.553908229
272.5,NTA-01,GLAST+ individual,12637028.169195013
277.5,NTA-01,GLAST+ individual,11756624.573649775
282.5,NTA-01,GLAST+ individual,10874056.33409778
287.5,NTA-01,GLAST+ individual,10035387.002231061
