sample,group,pseudogene,Mt tRNA,Mt rRNA,rRNA,scaRNA,snoRNA,snRNA,miRNA,misc RNA,lncRNA,mRNA
A34_AR28_S18,ALS,0.1317863726217981,0.0016681819319214,0.0004170454829803,0.0642250043789775,0.0,0.0196011377000775,0.0045875003127841,0.0275250018767046,0.3236272947927701,41.46099373597685,57.96556872492514
A43_AR48_S18,ALS,0.000939964469343,0.000939964469343,0.0,0.0037598578773722,0.0,0.0,0.000939964469343,0.0018799289386861,0.1654337466043783,37.75743276904133,62.068673804130206
A33_AR27_S18,ALS,0.0,0.0,0.0,0.0,0.0,0.0,0.011929259491217,0.0,0.0,34.44871909576213,65.53935164474666
A15_AR37_S15,ALS,0.1295623321219782,0.0031600568810238,0.0,0.0316005688102385,0.0,0.1232422183599304,0.0094801706430715,0.0126402275240954,0.3981671670090062,32.60230684152315,66.68984041712751
A4_AR31_S4,ALS,0.0126789135579848,0.009861377211766,0.0014087681731094,0.0042263045193282,0.0,0.0042263045193282,0.0253578271159697,0.0154964499042037,0.4846162515496449,31.31550772004959,68.12662008339908
A35_AR29_S18,ALS,0.023363576184728,0.011681788092364,0.0038939293641213,0.0077878587282426,0.0038939293641213,0.0077878587282426,0.011681788092364,0.035045364277092,0.1207118102877613,30.9723141622211,68.80183793465987
A37_AR32_S18,ALS,0.0613492781310122,0.0006766464499744,0.027065857998976,0.0130818313661717,0.0006766464499744,0.0103752455662741,0.0121796360995392,0.0180439053326506,0.2054749719755595,29.82048569682179,69.83059028380808
A13_AR02_S13,ALS,0.0477452606707596,0.0006121187265482,0.0012242374530964,0.0067333059920302,0.0,0.0863087404432963,0.1677205310742071,0.0036727123592892,0.0110181370778676,29.801000201999177,69.87396475420373
A25_AR15_S18,ALS,0.0009516739945564,0.0,0.0,0.0237918498639106,0.0,0.0,0.0047583699727821,0.0047583699727821,0.0066617179618949,30.027217876244315,69.93186014198976
A6_AR44_S6,ALS,0.0701428966678227,0.0,0.0035071448333911,0.0169512000280571,0.0,0.0,0.0017535724166955,0.0,0.6889591183817254,29.238481951843003,69.98020411582931
A21_AR08_S18,ALS,0.1128494607120635,0.0023658167864164,0.0078071953951742,0.0236581678641642,0.0070974503592492,0.0350140884389631,0.0283898014369971,0.0331214350098299,0.2436791290008919,29.09694407445699,70.40883679886062
A30_AR22_S18,ALS,0.1658347013300278,0.0002791829988721,0.0039085619842094,0.0117256859526282,0.0,0.0273599338894658,0.0156342479368376,0.0067003919729304,0.2805789138664611,28.81447731358951,70.67350106647906
A16_AR46_S16,ALS,0.0164106046458987,0.0,0.0,0.0033952975129445,0.0,0.000282941459412,0.0277282630223806,0.0014147072970602,0.2900149958973488,28.8280564751153,70.83269671504966
A40_AR40_S18,ALS,0.2104432460870709,0.0065763514402209,0.0032881757201104,0.0180849664606076,0.0032881757201104,0.0065763514402209,0.1101538866237011,0.0197290543206628,0.4537682493752466,27.992239905300536,71.17585163751151
A7_AR06_S7,ALS,0.0119762271890297,0.0,0.0,0.0568870791478914,0.0,0.0029940567972574,0.0419167951616042,0.0074851419931436,0.624260842228177,28.04533001991048,71.20914983757241
A32_AR25_S18,ALS,0.001822705441687,0.0027340581625306,0.0,0.1412596717307499,0.0,0.0009113527208435,0.0027340581625306,0.0328086979503677,0.1212099118721918,27.870988908837383,71.82553063512171
A3_AR20_S3,ALS,0.020247013565499,0.0011569722037428,0.002892430509357,0.0046278888149712,0.0,0.0138836664449136,0.0121482081392994,0.0023139444074856,0.0410725132328695,27.661469933184858,72.240187429497
A36_AR30_S18,ALS,0.0253193045631013,0.0056265121251336,0.0,0.0253193045631013,0.0028132560625668,0.0492319810949192,0.0154729083441174,0.0506386091262026,0.1955212963483936,26.718899454228325,72.91115737354414
A29_AR21_S18,ALS,0.07454641872919,0.0021733649775274,0.0076067774213459,0.0156482278381973,0.0002173364977527,0.0184736023089829,0.0136921993584226,0.0408592615775152,0.1923428005111754,26.69805005694216,72.93638995383773
A10_AR38_S10,ALS,0.0518286423924639,0.000336549625925,0.0025241221944381,0.0067309925185018,0.0,0.0001682748129625,0.0171640309221796,0.002187572568513,0.3237607401399373,26.658264144339405,72.93703493048568
A45_AR51_S18,ALS,0.109179654050351,0.0012844665182394,0.0074927213563966,0.004281555060798,0.0070645658503168,0.0479534166809385,0.0149854427127932,0.0055660215790375,0.2408374721698921,26.59038362733345,72.9709710566878
A44_AR49_S18,ALS,0.0027079942698841,0.0002707994269884,0.0016247965619304,0.0048743896857914,0.0,0.0005415988539768,0.0008123982809652,0.0064991862477219,0.2047243668032398,26.591691331981146,73.18625313788836
A39_AR35_S18,ALS,0.2564510357441056,0.019879925251481,0.0059639775754443,0.0139159476760367,0.0,0.0139159476760367,0.0218679177766291,0.0298198878772215,0.6898334062263926,25.57353584350523,73.37481611069143
A19_AR04_S18,ALS,0.063617147899608,0.0143651624289437,0.0,0.0143651624289437,0.0020521660612776,0.012312996367666,0.0184694945514991,0.1067126351864393,0.357076894662316,25.994787498204353,73.41624084220895
A1_AR01_S1,ALS,0.1218702660380248,0.0017020986876819,0.007148814488264,0.0268931592653742,0.0010212592126091,0.0146380487140644,0.0483396027301663,0.0139572092389916,0.2856121597930248,25.971643035863217,73.50240846964307
A38_AR34_S18,ALS,0.1884729462791695,0.0120815991204595,0.0030203997801148,0.1051099123479983,0.0,0.0036244797361378,0.0042285596921608,0.0114775191644366,0.5267577216520378,25.606345255858063,73.53888160636942
A26_AR17_S18,ALS,0.0402199570108,0.0151649018237442,0.0,0.027033085859718,0.000659343557554,0.0171429324964065,0.0263737423021639,0.0415386441259082,0.4087930056835415,25.870003824192633,73.55307056294752
A28_AR19_S18,ALS,0.0374709600059953,0.0019984512003197,0.0,0.0009992256001598,0.0,0.0039969024006395,0.0049961280007993,0.0044965152007194,0.3941944992630711,25.97486947615598,73.57697784217233
A31_AR23_S18,ALS,0.0297182015243689,0.0052443885043003,0.0034962590028669,0.0157331655129011,0.0,0.0611845325501713,0.0367107195301027,0.0157331655129011,0.5786308649744774,25.65030417453325,73.60324452835467
A9_AR33_S9,ALS,0.0698304613674263,0.0034741523068371,0.0038215675375208,0.0114647026125625,0.0031267370761534,0.0107698721511951,0.015633685380767,0.015633685380767,0.2953029460811562,25.860200111172876,73.71074207893274
A27_AR18_S18,ALS,0.0222565343793904,0.0,0.0,0.0083462003922714,0.0,0.0180834341832547,0.0097372337909833,0.0319937681703737,0.0945902711124094,25.9552921865654,73.8597003714059
A2_AR14_S2,ALS,0.1317678063013247,0.0019251789881687,0.0051338106351165,0.0218186951992453,0.0004278175529263,0.007914624729138,0.0130484353642545,0.0235299654109508,0.2802204971667782,25.0910716615792,74.4231415070729
A5_AR43_S5,ALS,0.1323300696334523,0.0002209183132444,0.0026510197589339,0.0006627549397334,0.0002209183132444,0.0006627549397334,0.3413187939627443,0.0024301014456894,0.4186402035983174,24.639903149411474,74.46095931568343
A23_AR12_S18,ALS,0.00268387927911,0.00268387927911,0.0,0.0362323702679853,0.0,0.001341939639555,0.004025818918665,0.0684389216173056,0.52469839906601,24.78159932366242,74.57829546826984
A14_AR07_S14,ALS,0.0946119882875999,0.0020512084181593,0.0002564010522699,0.028204115749691,0.0017948073658894,0.0212812873384032,0.0017948073658894,0.0205120841815934,0.6199777443886629,24.62988508104837,74.57963047480347
A12_AR42_S12,ALS,0.1657948813749299,0.0,0.0016166348129733,0.0003592521806607,0.0082628001551969,0.0062869131615628,0.0344882093434307,0.0016166348129733,0.4032605727916768,24.748882725718143,74.62943137564845
A22_AR11_S18,ALS,0.0380841361358842,0.003311664011816,0.0072856608259952,0.0009934992035448,0.0,0.0036428304129976,0.0307984753098889,0.0129154896460824,0.4142891678781837,24.84609041505085,74.64192632872239
A8_AR26_S8,ALS,0.063337164840836,0.0017593656900232,0.0002932276150038,0.0070374627600928,0.0002932276150038,0.0621642543808205,0.0266837129653522,0.0140749255201857,0.2624387154284642,24.900595838513688,74.66073564944053
A24_AR13_S18,ALS,0.4317388238127182,0.0068802999810791,0.0,0.0068802999810791,0.0,0.0189208249479677,0.0120405249668885,0.0361215749006656,0.2648915492715482,24.409584257873643,74.81294184426442
A42_AR45_S18,ALS,0.0420483938787732,0.0114677437851199,0.0,0.0127419375390221,0.0012741937539022,0.0089193562773155,0.0229354875702399,0.0420483938787732,0.5708388017481939,24.172729705278982,75.11499598628968
A18_AR50_S18,ALS,0.0966207475593802,0.0008730790442112,0.0021826976105281,0.0052384742652676,0.0,0.0600969408765422,0.0254648054561619,0.0574777037439084,0.3435566038971338,24.144127888618396,75.26436105892847
A17_AR47_S17,ALS,0.0506024858471172,0.0014375706206567,0.006612824855021,0.0057502824826269,0.0011500564965253,0.0209885310615884,0.0080503954756777,0.0385268926336006,0.3059150280757542,24.059469421435328,75.50149651101611
A41_AR41_S18,ALS,0.0158587104934379,0.0,0.0,0.0003867978169131,0.0,0.0665292245090568,0.0398401751420515,0.0197266886625691,0.2409750399368746,24.04025791678432,75.57642544665478
A20_AR05_S18,ALS,0.1552912658131959,0.0151503673964093,0.0012625306163674,0.0151503673964093,0.0,0.0138878367800419,0.0063126530818372,0.0517637552710653,0.5504633487362068,23.320203014923113,75.86925232936899
A11_AR39_S11,ALS,0.0984721043046827,0.0022093100324768,0.0,0.0085216244109821,0.0,0.0359801919574802,0.0179900959787401,0.0072591615352811,0.252176959421287,22.76630865323617,76.8110818991229
C2_1118241_S5,Control,0.0486066789803586,0.0050720012849069,0.0025360006424534,0.0156386706284632,0.0004226667737422,0.0283186738407307,0.0147933370809787,0.0321226748044109,0.1961173830164037,36.96094136343848,62.69500788273533
C3_1112241_S6,Control,0.0745803012010382,0.0022152564713179,0.0007384188237726,0.0084918164733855,0.0040613035307496,0.0070149788258402,0.0136607482397941,0.0177220517705437,0.3234274448124231,36.70126158856041,62.84682609129072
C4_1113243_S7,Control,0.085770121598147,0.0036189924724956,0.0101331789229878,0.0209901563404748,0.0,0.0184568616097278,0.0318471337579617,0.0293138390272148,0.1820353213665315,31.435292414591775,68.18218008106544
S3_REGSSC014_S21,Control,0.1155427781214745,0.0009097856544997,0.0,0.0036391426179991,0.0009097856544997,0.0018195713089995,0.0009097856544997,0.0,0.2201681283889515,30.347720077149827,69.30838094544926
S1_REGSSC043_S19,Control,0.0553179136931005,0.0290282121359834,0.0,0.0016431063473198,0.0,0.0010954042315465,0.0038339148104129,0.0098586380839189,0.4524019476287237,29.85305152233803,69.59376934073096
C8_1115241_S11,Control,0.0581813727741797,0.0015310887572152,0.0003827721893038,0.0107176213005067,0.0,0.0072726715967724,0.0290906863870898,0.0030621775144305,0.353681502916724,27.561128718631817,71.97495138793197
S5_WNT009_S23,Control,0.1188170635959173,0.0047108086888249,0.0036639623135304,0.0041873855011777,0.0219837738811829,0.0031405391258832,0.0136090028788275,0.0146558492541219,0.224025124313007,26.90970950013086,72.68149699031667
C7_1114241_S10,Control,0.0621341544064496,0.0018455689427658,0.0,0.018148094603864,0.0,0.0113810084803892,0.0618265595826553,0.0190708790752469,0.5041479161988662,26.18616253925679,73.13436049498159
S6_REGSSC119_S24,Control,0.0503058973509726,0.0015622949487879,0.021559670293274,0.0528055692690334,0.0,0.0240593422113347,0.008436392723455,0.0090613107029702,0.4155704563776005,26.237493828934955,73.17602064729004
C1_1113242_S4,Control,0.098181351048797,0.0011010992640986,0.0001835165440164,0.0100934099209043,0.0001835165440164,0.0405571562276339,0.0055054963204932,0.0119285753610688,0.2365528252371951,26.37756693765943,73.21814611587236
S4_REGSSC218_S22,Control,0.2035443145050436,0.0,0.0,0.0,0.0,0.0015860595935457,0.0005286865311819,0.0010573730623638,0.262228519466238,25.35369128936071,74.17736375748092
C5_1113241_S8,Control,0.0667884821372314,0.0003150400100812,0.0069308802217881,0.015752000504064,0.0040955201310566,0.0094512003024384,0.0333942410686157,0.0154369604939827,0.3285867305147754,24.809400793900828,74.70953311070507
C9_116241_S12,Control,0.0622146051720292,0.0117386047494394,0.0011738604749439,0.021129488548991,0.0011738604749439,0.0311073025860146,0.0252380002112948,0.0539975818474216,0.2177511181021023,23.75893601286551,75.81553956496731
