factor,feature_weighted_variance_pct_omic_views_only,spearman_rho_survival,p_value_survival,neglog10_p_survival,n_als
Factor1,0.18005768458048502,0.998846502046664,2.417018110323454e-58,57.616720095482265,45
Factor2,8.182595173517862,0.21144284487036016,0.16322409225042703,0.7872157379890939,45
Factor3,13.084129492441813,-0.11244854975170433,0.4620726264453492,0.33528975867424193,45
Factor4,3.636221090952555,-0.12504542541303898,0.41310312292047685,0.3839415218909906,45
Factor5,2.2845645745595298,-0.21625735755767658,0.1536309432683448,0.813521302942137,45
Factor6,1.8151919047037761,0.19291026863562183,0.20421612959169264,0.6899099590364607,45
Factor7,1.7974138259887695,-0.12306685855523773,0.4205920009954522,0.37613899117554156,45
Factor8,1.2496391932169597,0.08244028574171872,0.5903134330632023,0.22891733394152647,45
Factor9,1.5485982100168865,0.28530934089494014,0.05746569054970095,1.240591370130254,45
Factor10,1.9391973813374836,-0.07887886539767648,0.606518604226323,0.21715587313390755,45
Factor11,1.3078093528747559,0.3145261781618053,0.035355413976329554,1.451544073238748,45
Factor12,0.8327821890513102,0.046957986758482985,0.7593697635030053,0.11954669953916149,45
