feature,side,value,ev_bootstrap_metric,ev_bootstrap_scaled,plasma_metric,plasma_scaled,ev_concordance_prop_split,p_full,p_log,rank_score
hsa-miR-31-5p,EV bootstrap |beta| (scaled),-0.9306142196009392,0.33895828630827196,0.9306142196009392,0.2917803285055632,1,0.97,0.00117486933603918,2.930010061434809,0.9363478965064554
hsa-miR-4492,EV bootstrap |beta| (scaled),-1,0.36423071899075665,1,0.25518462744202985,0.8745779016324756,0.995,0.0034515292490828,2.461988316118301,0.9326025060621567
hsa-miR-93-3p,EV bootstrap |beta| (scaled),-0.690316045443738,0.25143430956282853,0.690316045443738,0.18869550891998482,0.6467040114953709,0.995,0.02050311169982516,1.6881802011033613,0.6651674783272067
hsa-miR-421,EV bootstrap |beta| (scaled),-0.3997044899602655,0.14558465376206117,0.3997044899602655,0.24132186710617892,0.8270669525330177,1,0.01209785627282096,1.9172915434848028,0.6133857212466416
hsa-miR-324-5p,EV bootstrap |beta| (scaled),-0.5005861157324648,0.18232884085002576,0.5005861157324648,0.18866023334692944,0.6465831137870296,0.99,0.02214759959393119,1.6546733170824353,0.5678487686121497
hsa-miR-106b-5p,EV bootstrap |beta| (scaled),-0.5172896924676074,0.18841279661398402,0.5172896924676074,0.16119633882964216,0.5524578701218672,0.9,0.11834768593050764,0.9268402258053131,0.48138640316526354
hsa-miR-183-5p,EV bootstrap |beta| (scaled),-0.8714732627015257,0.31741733305499725,0.8714732627015257,0.04500788493613228,0.1542526364496644,0.83,0.7397384945337605,0.13092178029379978,0.4256762481477439
hsa-miR-328-3p,EV bootstrap |beta| (scaled),-0.5197172973559173,0.18929700488787865,0.5197172973559173,0.06350283071840054,0.21763917754033846,0.69,0.5838253905322179,0.23371702075169434,0.25438798383920824
hsa-miR-342-3p,EV bootstrap |beta| (scaled),-0.46190140692433956,0.16823868154689425,0.46190140692433956,0.08629629657775498,0.2957577607090453,0.61,0.29126889064922573,0.5357058967884669,0.23108604612818237
hsa-miR-628-3p,EV bootstrap |beta| (scaled),-0.7101661656576913,0.2586643331204097,0.7101661656576913,0.11665291663490843,0.39979705702704454,0.41,0.7151476638246412,0.14560427512588,0.22754246065037081
hsa-miR-122-5p,EV bootstrap |beta| (scaled),-0.2939345451445044,0.10705999071420386,0.2939345451445044,0.051544118707470235,0.1766538511059613,0.85,0.9517396250411604,0.021481848296241488,0.2000000684064479
hsa-miR-1307-3p,EV bootstrap |beta| (scaled),-0.35389678801866686,0.12890008154855842,0.35389678801866686,0.10979344191497431,0.3762880194059448,0.425,0.383934313182253,0.415743071018753,0.15516427157772997
hsa-miR-142-5p,EV bootstrap |beta| (scaled),-0.23173760217977268,0.08440595345913254,0.23173760217977268,0.16844499540390348,0.5773007257433801,0.375,0.13159799023325344,0.8807507399239762,0.15169468648559115
hsa-miR-99a-5p,EV bootstrap |beta| (scaled),-0.8368535964927978,0.3048077871405723,0.8368535964927978,0.04289820347549076,0.1470222605314287,0.235,0.7268982449042521,0.13852637914809093,0.1156054132003466
hsa-miR-30e-3p,EV bootstrap |beta| (scaled),-0.3826630161944215,0.1393776255196657,0.3826630161944215,0.058869145633033255,0.20175844593276218,0.3,0.994581613596112,0.0023595732088173395,0.08766321931907756
hsa-miR-326,EV bootstrap |beta| (scaled),-0.35774706438633047,0.13030247047826565,0.35774706438633047,0.0915513553124217,0.3137680863591054,0.195,0.29552897142918694,0.5293999362739884,0.06547272719768
hsa-miR-199a-3p,EV bootstrap |beta| (scaled),-0.3158400405943833,0.11503864507176201,0.3158400405943833,0.07061086364944343,0.24200008277150575,0.135,0.8077415755582122,0.09272756227764965,0.037654208327197514
hsa-miR-28-3p,EV bootstrap |beta| (scaled),-0.3051089693601955,0.11113005928059275,0.3051089693601955,0.052927233553305864,0.18139411187994717,0.06,0.8433844990184237,0.07397438484632149,0.014595092437204278
hsa-miR-1-3p,EV bootstrap |beta| (scaled),-0.48539519559121036,0.1767958410848455,0.48539519559121036,0.21213211746649008,0.7270267963333433,0,0.0019875793306173,2.7016753097463058,0
hsa-miR-31-5p,Plasma bootstrap |beta| (scaled),1,0.33895828630827196,0.9306142196009392,0.2917803285055632,1,0.97,0.00117486933603918,2.930010061434809,0.9363478965064554
hsa-miR-4492,Plasma bootstrap |beta| (scaled),0.8745779016324756,0.36423071899075665,1,0.25518462744202985,0.8745779016324756,0.995,0.0034515292490828,2.461988316118301,0.9326025060621567
hsa-miR-93-3p,Plasma bootstrap |beta| (scaled),0.6467040114953709,0.25143430956282853,0.690316045443738,0.18869550891998482,0.6467040114953709,0.995,0.02050311169982516,1.6881802011033613,0.6651674783272067
hsa-miR-421,Plasma bootstrap |beta| (scaled),0.8270669525330177,0.14558465376206117,0.3997044899602655,0.24132186710617892,0.8270669525330177,1,0.01209785627282096,1.9172915434848028,0.6133857212466416
hsa-miR-324-5p,Plasma bootstrap |beta| (scaled),0.6465831137870296,0.18232884085002576,0.5005861157324648,0.18866023334692944,0.6465831137870296,0.99,0.02214759959393119,1.6546733170824353,0.5678487686121497
hsa-miR-106b-5p,Plasma bootstrap |beta| (scaled),0.5524578701218672,0.18841279661398402,0.5172896924676074,0.16119633882964216,0.5524578701218672,0.9,0.11834768593050764,0.9268402258053131,0.48138640316526354
hsa-miR-183-5p,Plasma bootstrap |beta| (scaled),0.1542526364496644,0.31741733305499725,0.8714732627015257,0.04500788493613228,0.1542526364496644,0.83,0.7397384945337605,0.13092178029379978,0.4256762481477439
hsa-miR-328-3p,Plasma bootstrap |beta| (scaled),0.21763917754033846,0.18929700488787865,0.5197172973559173,0.06350283071840054,0.21763917754033846,0.69,0.5838253905322179,0.23371702075169434,0.25438798383920824
hsa-miR-342-3p,Plasma bootstrap |beta| (scaled),0.2957577607090453,0.16823868154689425,0.46190140692433956,0.08629629657775498,0.2957577607090453,0.61,0.29126889064922573,0.5357058967884669,0.23108604612818237
hsa-miR-628-3p,Plasma bootstrap |beta| (scaled),0.39979705702704454,0.2586643331204097,0.7101661656576913,0.11665291663490843,0.39979705702704454,0.41,0.7151476638246412,0.14560427512588,0.22754246065037081
hsa-miR-122-5p,Plasma bootstrap |beta| (scaled),0.1766538511059613,0.10705999071420386,0.2939345451445044,0.051544118707470235,0.1766538511059613,0.85,0.9517396250411604,0.021481848296241488,0.2000000684064479
hsa-miR-1307-3p,Plasma bootstrap |beta| (scaled),0.3762880194059448,0.12890008154855842,0.35389678801866686,0.10979344191497431,0.3762880194059448,0.425,0.383934313182253,0.415743071018753,0.15516427157772997
hsa-miR-142-5p,Plasma bootstrap |beta| (scaled),0.5773007257433801,0.08440595345913254,0.23173760217977268,0.16844499540390348,0.5773007257433801,0.375,0.13159799023325344,0.8807507399239762,0.15169468648559115
hsa-miR-99a-5p,Plasma bootstrap |beta| (scaled),0.1470222605314287,0.3048077871405723,0.8368535964927978,0.04289820347549076,0.1470222605314287,0.235,0.7268982449042521,0.13852637914809093,0.1156054132003466
hsa-miR-30e-3p,Plasma bootstrap |beta| (scaled),0.20175844593276218,0.1393776255196657,0.3826630161944215,0.058869145633033255,0.20175844593276218,0.3,0.994581613596112,0.0023595732088173395,0.08766321931907756
hsa-miR-326,Plasma bootstrap |beta| (scaled),0.3137680863591054,0.13030247047826565,0.35774706438633047,0.0915513553124217,0.3137680863591054,0.195,0.29552897142918694,0.5293999362739884,0.06547272719768
hsa-miR-199a-3p,Plasma bootstrap |beta| (scaled),0.24200008277150575,0.11503864507176201,0.3158400405943833,0.07061086364944343,0.24200008277150575,0.135,0.8077415755582122,0.09272756227764965,0.037654208327197514
hsa-miR-28-3p,Plasma bootstrap |beta| (scaled),0.18139411187994717,0.11113005928059275,0.3051089693601955,0.052927233553305864,0.18139411187994717,0.06,0.8433844990184237,0.07397438484632149,0.014595092437204278
hsa-miR-1-3p,Plasma bootstrap |beta| (scaled),0.7270267963333433,0.1767958410848455,0.48539519559121036,0.21213211746649008,0.7270267963333433,0,0.0019875793306173,2.7016753097463058,0
