group,time,surv,n_risk,strata,repeat_id,signature
High,0,1,127,group=High,1,Plasma-5
Low,0,1,121,group=Low,1,Plasma-5
High,1,0.9921259842519685,126,group=High,1,Plasma-5
Low,1,0.9917355371900827,120,group=Low,1,Plasma-5
High,2,0.937007874015748,120,group=High,1,Plasma-5
Low,2,0.9586776859504134,116,group=Low,1,Plasma-5
High,3,0.8818897637795275,114,group=High,1,Plasma-5
Low,3,0.8842975206611572,109,group=Low,1,Plasma-5
High,4,0.8425196850393701,107,group=High,1,Plasma-5
Low,4,0.8677685950413224,107,group=Low,1,Plasma-5
High,5,0.8110236220472442,103,group=High,1,Plasma-5
Low,5,0.8347107438016531,101,group=Low,1,Plasma-5
High,6,0.7795275590551183,99,group=High,1,Plasma-5
Low,6,0.7851239669421491,95,group=Low,1,Plasma-5
High,7,0.7322834645669294,93,group=High,1,Plasma-5
Low,7,0.760330578512397,93,group=Low,1,Plasma-5
High,8,0.677165354330709,88,group=High,1,Plasma-5
Low,8,0.7520661157024796,91,group=Low,1,Plasma-5
High,9,0.6535433070866146,85,group=High,1,Plasma-5
Low,9,0.6942148760330583,84,group=Low,1,Plasma-5
High,10,0.5905511811023627,75,group=High,1,Plasma-5
Low,10,0.6611570247933888,80,group=Low,1,Plasma-5
High,11,0.5433070866141738,70,group=High,1,Plasma-5
Low,11,0.6363636363636368,77,group=Low,1,Plasma-5
High,12,0.4960629921259849,64,group=High,1,Plasma-5
Low,12,0.6115702479338847,74,group=Low,1,Plasma-5
High,13,0.43307086614173274,55,group=High,1,Plasma-5
Low,13,0.6033057851239674,73,group=Low,1,Plasma-5
High,14,0.4094488188976383,53,group=High,1,Plasma-5
Low,14,0.5785123966942153,70,group=Low,1,Plasma-5
High,15,0.3622047244094492,46,group=High,1,Plasma-5
Low,15,0.570247933884298,69,group=Low,1,Plasma-5
High,16,0.33070866141732314,42,group=High,1,Plasma-5
Low,16,0.570247933884298,69,group=Low,1,Plasma-5
High,17,0.3149606299212601,40,group=High,1,Plasma-5
Low,17,0.5619834710743806,68,group=Low,1,Plasma-5
High,18,0.27559055118110265,35,group=High,1,Plasma-5
Low,18,0.5537190082644633,67,group=Low,1,Plasma-5
High,19,0.2519685039370082,32,group=High,1,Plasma-5
Low,19,0.5289256198347112,65,group=Low,1,Plasma-5
High,20,0.2440944881889767,31,group=High,1,Plasma-5
Low,20,0.5041322314049591,61,group=Low,1,Plasma-5
High,21,0.22047244094488216,28,group=High,1,Plasma-5
Low,21,0.479338842975207,58,group=Low,1,Plasma-5
High,22,0.21259842519685065,27,group=High,1,Plasma-5
Low,22,0.46280991735537225,56,group=Low,1,Plasma-5
High,23,0.21259842519685065,27,group=High,1,Plasma-5
Low,23,0.42975206611570277,52,group=Low,1,Plasma-5
High,24,0.1653543307086616,22,group=High,1,Plasma-5
Low,24,0.41305785123966965,50,group=Low,1,Plasma-5
High,25,0.14960629921259858,20,group=High,1,Plasma-5
Low,25,0.3961983471074382,47,group=Low,1,Plasma-5
High,26,0.14173228346456707,18,group=High,1,Plasma-5
Low,26,0.37933884297520676,45,group=Low,1,Plasma-5
High,27,0.13385826771653556,17,group=High,1,Plasma-5
Low,27,0.36247933884297534,43,group=Low,1,Plasma-5
High,28,0.13385826771653556,17,group=High,1,Plasma-5
Low,28,0.36247933884297534,43,group=Low,1,Plasma-5
High,29,0.11023622047244104,14,group=High,1,Plasma-5
Low,29,0.36247933884297534,43,group=Low,1,Plasma-5
High,30,0.10236220472440954,13,group=High,1,Plasma-5
Low,30,0.35384887839433304,42,group=Low,1,Plasma-5
High,31,0.09448818897637805,12,group=High,1,Plasma-5
Low,31,0.34521841794569075,40,group=Low,1,Plasma-5
High,32,0.09448818897637805,12,group=High,1,Plasma-5
Low,32,0.32795749704840615,38,group=Low,1,Plasma-5
High,33,0.09448818897637805,12,group=High,1,Plasma-5
Low,33,0.3193270365997639,37,group=Low,1,Plasma-5
High,34,0.08661417322834654,11,group=High,1,Plasma-5
Low,34,0.3020661157024794,35,group=Low,1,Plasma-5
High,35,0.08661417322834654,11,group=High,1,Plasma-5
Low,35,0.3020661157024794,35,group=Low,1,Plasma-5
High,36,0.08661417322834654,11,group=High,1,Plasma-5
