gene_symbol,display_order,top7_flag,is_control_row,component,x_value,y_value,value,point_size,p_value
NPM1,1,TRUE,FALSE,bridge_scatter,0.30438664298390566,1,2.6496183642764373,1,0.00224068927654399
ZBTB16,2,TRUE,FALSE,bridge_scatter,0.24616568959853707,0.8246919279859797,2.062405932684782,0.6363636363636364,0.00866151909813328
CBL,3,TRUE,FALSE,bridge_scatter,0.1720768941646188,0.7229330763467485,1.7394795015626618,0.5909090909090909,0.01821883062843116
LAMP1,4,TRUE,FALSE,bridge_scatter,0.16721529719557138,0.6793502472912056,1.605617770754787,0.6818181818181818,0.02479603434635595
SLC22A8,5,TRUE,FALSE,bridge_scatter,0.01885098507021538,0.6676652691687102,1.5702054056515256,0.13636363636363635,0.02690262105877443
DDX60,6,TRUE,FALSE,bridge_scatter,0.1276967462589954,0.573858724451022,1.2936193180929945,0.22727272727272727,0.05086050662600766
NHEJ1,7,TRUE,FALSE,bridge_scatter,0.06629312935690065,0.555334085220585,1.2406933693410338,0.13636363636363635,0.057452195635386
MTMR3,8,FALSE,FALSE,bridge_scatter,0.20397731526695778,0.5256789521910619,1.1571919725796869,0.6818181818181818,0.06963186501114241
NAGK,9,FALSE,FALSE,bridge_scatter,0.09109457056506433,0.45002283242888713,0.9513307138047872,0.36363636363636365,0.11185857597247158
NBPF1,10,FALSE,FALSE,bridge_scatter,0.14283140517859205,0.44538996180883234,0.9390740745911256,0.5454545454545454,0.11506041216594164
STK4,11,FALSE,FALSE,bridge_scatter,0.18802407386100176,0.44374169680553543,0.9347235061712352,0.5,0.11621882861919612
SYNPO2,12,FALSE,FALSE,bridge_scatter,0.12308486193708265,0.38336958833893126,0.7791104735370261,0.36363636363636365,0.1662989574056015
KIAA0825,13,FALSE,FALSE,bridge_scatter,0.12333947346874824,0.3753340610012422,0.7589636356111996,0.2727272727272727,0.1741952724644295
RAB6B,14,FALSE,FALSE,bridge_scatter,0.15538548767218474,0.2690016213896959,0.5058640536097458,0.4090909090909091,0.311986603709391
NRXN3,15,FALSE,FALSE,bridge_scatter,0.10450013056418853,0.22369949375911283,0.4062302546370985,0.36363636363636365,0.39243681773122285
IRF1,16,FALSE,FALSE,bridge_scatter,0.0228985657762496,0.1720184783987685,0.2991357068459885,0,0.5021856437599881
SLC1A3,17,FALSE,TRUE,bridge_scatter,0.11764189300945312,0.009153858468346663,0.04850846300343739,0.2727272727272727,0.8943171043971224
NPM1,1,TRUE,FALSE,survival_logp,NA,NA,2.6496183642764373,1,0.00224068927654399
ZBTB16,2,TRUE,FALSE,survival_logp,NA,NA,2.062405932684782,0.6363636363636364,0.00866151909813328
CBL,3,TRUE,FALSE,survival_logp,NA,NA,1.7394795015626618,0.5909090909090909,0.01821883062843116
LAMP1,4,TRUE,FALSE,survival_logp,NA,NA,1.605617770754787,0.6818181818181818,0.02479603434635595
SLC22A8,5,TRUE,FALSE,survival_logp,NA,NA,1.5702054056515256,0.13636363636363635,0.02690262105877443
DDX60,6,TRUE,FALSE,survival_logp,NA,NA,1.2936193180929945,0.22727272727272727,0.05086050662600766
NHEJ1,7,TRUE,FALSE,survival_logp,NA,NA,1.2406933693410338,0.13636363636363635,0.057452195635386
MTMR3,8,FALSE,FALSE,survival_logp,NA,NA,1.1571919725796869,0.6818181818181818,0.06963186501114241
NAGK,9,FALSE,FALSE,survival_logp,NA,NA,0.9513307138047872,0.36363636363636365,0.11185857597247158
NBPF1,10,FALSE,FALSE,survival_logp,NA,NA,0.9390740745911256,0.5454545454545454,0.11506041216594164
STK4,11,FALSE,FALSE,survival_logp,NA,NA,0.9347235061712352,0.5,0.11621882861919612
SYNPO2,12,FALSE,FALSE,survival_logp,NA,NA,0.7791104735370261,0.36363636363636365,0.1662989574056015
KIAA0825,13,FALSE,FALSE,survival_logp,NA,NA,0.7589636356111996,0.2727272727272727,0.1741952724644295
RAB6B,14,FALSE,FALSE,survival_logp,NA,NA,0.5058640536097458,0.4090909090909091,0.311986603709391
NRXN3,15,FALSE,FALSE,survival_logp,NA,NA,0.4062302546370985,0.36363636363636365,0.39243681773122285
IRF1,16,FALSE,FALSE,survival_logp,NA,NA,0.2991357068459885,0,0.5021856437599881
SLC1A3,17,FALSE,TRUE,survival_logp,NA,NA,0.04850846300343739,0.2727272727272727,0.8943171043971224
