module,n_terms,best_fdr,neg_log10_fdr,direction,dominant_lineage,cargo_mrna,mirna_footprints,n_genes,record_type,from,to,shared_n,jaccard,edge_class,edge_type,confidence,feature,feature_group,score,support_n,support_fraction
Astrocyte inflammatory reactivity,17.0,4.0160049636200963e-08,7.396205759092249,ALS gain,Vascular,CBL;DDX60;IRF1;LAMP1;MTMR3;NHEJ1;ZBTB16,hsa-miR-1-3p;hsa-miR-106b-5p;hsa-miR-122-5p;hsa-miR-1307-3p;hsa-miR-142-5p;hsa-miR-183-5p;hsa-miR-199a-3p;hsa-miR-342-3p;hsa-miR-4492;hsa-miR-99a-5p,1564.0,module_summary,,,,,,,,,,,,
Complement / innate immune,7.0,3.168182290238449e-05,4.499189838014661,ALS gain,Astrocyte,IRF1;NPM1,hsa-miR-1-3p;hsa-miR-106b-5p;hsa-miR-183-5p;hsa-miR-199a-3p;hsa-miR-30e-3p;hsa-miR-324-5p;hsa-miR-421;hsa-miR-628-3p;hsa-miR-93-3p,476.0,module_summary,,,,,,,,,,,,
Interferon / JAK-STAT,8.0,3.33679354270441e-13,12.476670663599338,ALS gain,Astrocyte,DDX60;IRF1;NPM1,hsa-miR-1-3p;hsa-miR-106b-5p;hsa-miR-122-5p;hsa-miR-1307-3p;hsa-miR-142-5p;hsa-miR-199a-3p;hsa-miR-324-5p;hsa-miR-421;hsa-miR-4492;hsa-miR-93-3p,533.0,module_summary,,,,,,,,,,,,
Antigen presentation / MHC-II,8.0,5.1479919200819605e-11,10.288362143404514,ALS gain,Vascular,,,122.0,module_summary,,,,,,,,,,,,
Vascular activation / adhesion,14.0,8.46515160142154e-10,9.072365259755724,ALS gain,Vascular,CBL;IRF1;STK4;ZBTB16,hsa-miR-1-3p;hsa-miR-106b-5p;hsa-miR-122-5p;hsa-miR-142-5p;hsa-miR-183-5p;hsa-miR-199a-3p;hsa-miR-31-5p;hsa-miR-324-5p;hsa-miR-326;hsa-miR-328-3p;hsa-miR-421;hsa-miR-4492;hsa-miR-93-3p;hsa-miR-99a-5p,1282.0,module_summary,,,,,,,,,,,,
Lysosome / autophagy,2.0,0.00015062694023695183,3.822097345865125,ALS gain,Astrocyte,MTMR3,hsa-miR-106b-5p;hsa-miR-142-5p;hsa-miR-421;hsa-miR-99a-5p,159.0,module_summary,,,,,,,,,,,,
Endosomal trafficking,2.0,0.0012679726512503,2.89689011359874,ALS gain,Oligodendrocyte,CBL,hsa-miR-106b-5p;hsa-miR-142-5p;hsa-miR-199a-3p;hsa-miR-31-5p;hsa-miR-326;hsa-miR-342-3p,320.0,module_summary,,,,,,,,,,,,
Oligodendrocyte stress / proteostasis,3.0,7.544538114371708e-07,6.122367343101092,ALS gain,OPC,LAMP1,hsa-miR-1-3p;hsa-miR-106b-5p;hsa-miR-122-5p;hsa-miR-142-5p;hsa-miR-199a-3p;hsa-miR-30e-3p;hsa-miR-324-5p;hsa-miR-326;hsa-miR-342-3p;hsa-miR-421;hsa-miR-628-3p;hsa-miR-93-3p;hsa-miR-99a-5p,441.0,module_summary,,,,,,,,,,,,
Myelination / axon-glia support,6.0,4.837462421776487e-08,7.31538239563267,ALS loss,Oligodendrocyte,,hsa-miR-1-3p;hsa-miR-142-5p;hsa-miR-199a-3p;hsa-miR-28-3p;hsa-miR-31-5p;hsa-miR-342-3p;hsa-miR-421;hsa-miR-4492,228.0,module_summary,,,,,,,,,,,,
Oxidative / ER stress,11.0,0.0001269234832972859,3.896458017598796,ALS gain,Astrocyte,,hsa-miR-122-5p;hsa-miR-199a-3p;hsa-miR-31-5p,121.0,module_summary,,,,,,,,,,,,
