"Lineage","Program","Program class","Analysis gate","Gate-validation result","N genes","Marker genes","N paired donors","Median gate minus non-gate (z)","CI low","CI high","P value","BH q","Marker provenance"
"Astrocyte","Homeostatic","Lineage identity","Astro","Analysis-gate enriched",6,"AQP4, SLC1A2, SLC1A3, ALDH1L1, GLUL, GJA1",69,2.753,2.682,2.824,"5.3 × 10⁻¹³",0,"R1;R2"
"Astrocyte","Reactive","Shared response","Astro","Analysis-gate enriched",5,"GFAP, VIM, CD44, SERPINA3, CHI3L1",69,2.092,1.633,2.458,"5.3 × 10⁻¹³",0,"R2;R3"
"Astrocyte","Complement / inflammatory","Shared response","Astro","Shared/off-gate dominant",5,"C3, CFB, SERPING1, HLA-DRA, HLA-DPA1",73,-0.529,-0.549,-0.451,"3.3 × 10⁻¹³",0,"R2;R3"
"Astrocyte","Interferon","Shared response","Astro","Shared/off-gate dominant",6,"ISG15, IFITM3, IFI6, IFI27, MX1, STAT1",69,-0.515,-0.605,-0.487,"7.9 × 10⁻¹³",0,"R1;R2"
"Astrocyte","Stress","Shared response","Astro","Analysis-gate enriched",6,"MT1X, MT2A, FTL, FTH1, HSPA1A, HSPB1",69,0.461,0.349,0.59,"1.2 × 10⁻¹¹",0,"R1;R2"
"Microglia","Homeostatic","Lineage identity","Micro","Analysis-gate enriched",5,"P2RY12, TMEM119, CX3CR1, GPR34, SELPLG",69,2.366,2.076,2.923,"5.3 × 10⁻¹³",0,"R4"
"Microglia","DAM / endolysosomal","Disease-associated","Micro","Analysis-gate enriched",12,"APOE, TREM2, TYROBP, CTSD, GPNMB, LPL, SPP1, LGALS3, CST7, CD9, SQSTM1, GRN",69,1.77,1.408,2.183,"6.9 × 10⁻¹³",0,"R5;R6"
"Microglia","Interferon","Shared response","Micro","Shared/off-gate dominant",7,"ISG15, IFITM3, IFI44L, IFI27, MX1, OAS1, STAT1",69,-0.255,-0.356,-0.125,"5.6 × 10⁻⁷",0,"R6;R1"
"Microglia","Antigen-presenting","Shared response","Micro","Analysis-gate enriched",5,"HLA-DRA, HLA-DPA1, HLA-DPB1, CD74, B2M",69,1.705,1.544,1.963,"5.3 × 10⁻¹³",0,"R6;R1"
"Microglia","Cycling","Shared response","Micro","Shared/off-gate dominant",5,"MKI67, TOP2A, STMN1, CENPF, HMGB2",69,-0.144,-0.29,-0.036,"0.0278",0.028,"R6;R1"
"OPC","Canonical","Lineage identity","OPC","Analysis-gate enriched",7,"PDGFRA, CSPG4, VCAN, PTPRZ1, SOX10, OLIG1, OLIG2",69,2.725,2.667,2.823,"5.3 × 10⁻¹³",0,"R7"
