Gene,sEV direction,sEV mRNA–survival ρ,sEV survival P value,sEV survival-support score,Bulk cortex effect,Bulk cortex FDR,Single-nucleus effect,Single-nucleus FDR,"Significant bulk contrasts, n","Significant single-nucleus contrasts, n",Tissue-bridge score,Median quadrant,Figure 4c display group,Primary five-gene core
NPM1,down,0.444,0.00224,1,0.311,1.6 × 10⁻²⁶,-0.049,1.4 × 10⁻¹⁷²,5,17,0.304,Q1: high bridge + high EV support,Top 7,Yes
ZBTB16,up,0.387,0.00866,0.825,-0.284,2.0 × 10⁻¹⁴,-0.069,1.3 × 10⁻²³,4,10,0.246,Q1: high bridge + high EV support,Top 7,Yes
CBL,up,0.351,0.0182,0.723,0.174,7.0 × 10⁻¹⁰,-0.008,3.6 × 10⁻¹²,4,9,0.172,Q1: high bridge + high EV support,Top 7,Yes
LAMP1,up,-0.334,0.0248,0.679,-0.154,0.0101,0.039,5.1 × 10⁻⁴¹,1,14,0.167,Q1: high bridge + high EV support,Top 7,Yes
SLC22A8,down,0.33,0.0269,0.668,-0.497,0.181,0.004,9.7 × 10⁻¹⁵,0,3,0.019,Q2: low bridge + high EV support,Top 7,No
DDX60,down,0.293,0.0509,0.574,-0.247,0.00265,-0.015,2.6 × 10⁻⁵,2,3,0.128,Q2: low bridge + high EV support,Top 7,No
NHEJ1,ns,0.285,0.0575,0.555,0.088,0.0287,0.008,0.00987,2,1,0.066,Q2: low bridge + high EV support,Top 7,No
MTMR3,down,0.273,0.0696,0.526,-0.144,3.1 × 10⁻²¹,0.033,2.5 × 10⁻³⁶,5,10,0.204,Q1: high bridge + high EV support,Context,Yes
NAGK,ns,0.24,0.112,0.45,-0.068,2.6 × 10⁻⁴,0,1.3 × 10⁻⁹,2,6,0.091,Q3: low bridge + low EV support,Context,No
NBPF1,down,0.238,0.115,0.445,-0.171,0.00172,0.002,1.8 × 10⁻⁴¹,2,10,0.143,Q4: high bridge + low EV support,Context,No
STK4,down,0.237,0.116,0.444,0.196,2.4 × 10⁻¹⁶,0.006,1.8 × 10⁻⁵,6,5,0.188,Q4: high bridge + low EV support,Context,No
SYNPO2,down,0.21,0.166,0.383,0.101,8.4 × 10⁻⁵,0.006,7.7 × 10⁻⁵,4,4,0.123,Q3: low bridge + low EV support,Context,No
KIAA0825,ns,0.206,0.174,0.375,0.173,5.3 × 10⁻⁵,-0.019,1.9 × 10⁻⁴,3,3,0.123,Q3: low bridge + low EV support,Context,No
RAB6B,ns,0.154,0.312,0.269,0.191,1.6 × 10⁻⁵,-0.03,4.6 × 10⁻¹⁷,3,6,0.155,Q4: high bridge + low EV support,Context,No
NRXN3,down,-0.131,0.392,0.224,-0.099,0.00425,-0.004,2.2 × 10⁻¹¹,1,7,0.105,Q3: low bridge + low EV support,Context,No
IRF1,down,0.103,0.502,0.172,-0.164,0.0555,0.008,0.586,0,0,0.023,Q3: low bridge + low EV support,Context,No
SLC1A3,down,NA,0.894,0.009,-0.098,0.00595,0.059,1.5 × 10⁻¹²,1,5,0.118,Control,Control,No
