"miRNA","mRNA","Evidence source","No. seed sites","Best seed class","Seed evidence score","Supporting databases","Database-evidence score","Supporting database records","Canonical seed","Database supported","In 119 supported set","Primary support (canonical seed or database)"
"hsa-miR-1-3p","CBL","seed",2,"8mer",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1-3p","DDX60","db",0,"",NA,"Scored",1.5,1,"No","Yes","Yes","yes"
"hsa-miR-1-3p","IRF1","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1-3p","KIAA0825","seed",1,"8mer",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1-3p","MTMR3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-1-3p","NBPF1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-1-3p","NHEJ1","seed",4,"6mer",4,"",NA,0,"No","No","No","no"
"hsa-miR-1-3p","RAB6B","seed",3,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1-3p","STK4","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","CBL","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-106b-5p","DDX60","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-106b-5p","IRF1","both",4,"7mer-m8",12,"Scored",5.5,1,"Yes","Yes","Yes","yes"
"hsa-miR-106b-5p","LAMP1","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","MTMR3","both",3,"7mer-m8",7,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-106b-5p","NAGK","both",2,"8mer",7,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-106b-5p","NHEJ1","seed",5,"7mer-m8",11,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","NRXN3","seed",3,"7mer-m8",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","RAB6B","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-106b-5p","SLC22A8","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-106b-5p","STK4","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","SYNPO2","seed",3,"7mer-m8",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-106b-5p","ZBTB16","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-122-5p","CBL","both",5,"7mer-m8",10,"Scored",5.5,1,"Yes","Yes","Yes","yes"
"hsa-miR-122-5p","IRF1","seed",2,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-122-5p","LAMP1","db",0,"",NA,"Scored",1.5,1,"No","Yes","Yes","yes"
"hsa-miR-122-5p","MTMR3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-122-5p","NAGK","both",2,"7mer-A1",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-122-5p","NHEJ1","both",1,"7mer-A1",2,"Scored",0.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-122-5p","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-122-5p","RAB6B","both",3,"7mer-m8",5,"Scored",5.5,1,"Yes","Yes","Yes","yes"
"hsa-miR-122-5p","STK4","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-122-5p","ZBTB16","seed",3,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1307-3p","IRF1","both",3,"7mer-A1",6,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-1307-3p","MTMR3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-1307-3p","NAGK","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-1307-3p","NBPF1","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-1307-3p","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-1307-3p","RAB6B","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-1307-3p","ZBTB16","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-142-5p","CBL","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-142-5p","DDX60","both",2,"7mer-m8",4,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-142-5p","KIAA0825","both",5,"8mer",12,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-142-5p","MTMR3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-142-5p","NAGK","both",1,"7mer-m8",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-142-5p","NHEJ1","seed",4,"8mer",11,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-142-5p","NRXN3","seed",3,"8mer",8,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-142-5p","RAB6B","both",2,"8mer",7,"Scored",4.6,1,"Yes","Yes","Yes","yes"
"hsa-miR-142-5p","STK4","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-142-5p","SYNPO2","seed",1,"8mer",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-142-5p","ZBTB16","seed",2,"7mer-A1",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","CBL","both",3,"7mer-m8",7,"Scored",0.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-183-5p","DDX60","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-183-5p","IRF1","seed",3,"8mer",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","KIAA0825","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-183-5p","MTMR3","seed",3,"7mer-m8",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","NHEJ1","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","NRXN3","both",6,"8mer",11,"Scored",0.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-183-5p","RAB6B","seed",3,"7mer-m8",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","SLC22A8","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-183-5p","STK4","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-183-5p","SYNPO2","seed",2,"7mer-m8",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-199a-3p","CBL","both",3,"7mer-m8",5,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-199a-3p","IRF1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-199a-3p","NAGK","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-199a-3p","NHEJ1","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-199a-3p","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-199a-3p","RAB6B","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-199a-3p","ZBTB16","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-28-3p","CBL","both",4,"7mer-m8",8,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-28-3p","DDX60","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-28-3p","KIAA0825","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-28-3p","MTMR3","seed",5,"7mer-m8",9,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-28-3p","NBPF1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-28-3p","NHEJ1","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-28-3p","NRXN3","seed",1,"8mer",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-28-3p","STK4","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-28-3p","ZBTB16","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-30e-3p","CBL","seed",2,"8mer",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","KIAA0825","seed",2,"8mer",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","MTMR3","seed",3,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","NAGK","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-30e-3p","NBPF1","both",1,"7mer-A1",2,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-30e-3p","NHEJ1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-30e-3p","NRXN3","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","RAB6B","seed",4,"7mer-A1",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","STK4","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-30e-3p","SYNPO2","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","CBL","both",5,"7mer-m8",12,"Scored",0.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-31-5p","DDX60","seed",1,"8mer",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","IRF1","seed",2,"8mer",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","KIAA0825","seed",2,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","MTMR3","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-31-5p","NHEJ1","seed",3,"7mer-m8",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","RAB6B","both",2,"8mer",5,"Scored",2,1,"Yes","Yes","Yes","yes"
"hsa-miR-31-5p","SLC22A8","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
